entry_id,annotation_type,lpips
205_0_det0,number_letter,0.1196
205_0_det1,number_letter,0.1879
205_0_det2,freeform_bbox,0.4034
205_0_det3,arrow,0.3212
205_0_det4,number_letter,0.1164
2047_1_det0,arrow,0.2854
2047_1_det1,number_letter,0.3017
2047_1_det2,number_letter,0.3342
2052_1_det0,arrow,0.2225
2052_1_det1,number_letter,0.1941
2052_1_det2,number_letter,0.2452
2052_1_det3,number_letter,0.2657
2052_3_det0,freeform_bbox,0.6932
2052_3_det1,arrow,0.3411
2081_0_det1,freeform_bbox,0.4032
2081_0_det2,number_letter,0.3020
2081_0_det3,number_letter,0.2829
2081_0_det4,number_letter,0.2696
2081_0_det5,number_letter,0.3004
2070_0_det1,number_letter,0.1825
2070_0_det2,arrow,0.1371
2070_0_det3,number_letter,0.1841
2093_1_det0,freeform_bbox,0.5614
2103_3_det0,arrow,0.2163
2103_3_det2,number_letter,0.1499
2103_3_det4,number_letter,0.1394
2121_0_det0,number_letter,0.1646
2121_0_det1,arrow,0.1860
2121_0_det2,freeform_bbox,0.5771
2121_0_det3,number_letter,0.1575
2121_0_det4,number_letter,0.1251
2121_0_det5,number_letter,0.1508
2121_0_det6,number_letter,0.1573
2121_0_det7,number_letter,0.1708
2121_0_det8,number_letter,0.1523
2121_0_det9,number_letter,0.1354
2121_0_det10,arrow,0.1804
2163_1_det0,arrow,0.2042
2163_1_det3,number_letter,0.3224
2163_1_det5,number_letter,0.3210
2185_0_det0,arrow,0.1246
2185_0_det1,number_letter,0.2314
2185_0_det2,number_letter,0.1824
2185_0_det3,number_letter,0.2455
2185_0_det4,number_letter,0.1906
2185_0_det5,number_letter,0.2008
2185_0_det6,number_letter,0.3137
2185_0_det7,freeform_bbox,0.5616
2185_0_det8,arrow,0.1226
2182_1_det0,freeform_bbox,0.4653
2182_1_det1,arrow,0.1637
2182_1_det2,number_letter,0.3912
2182_1_det3,arrow,0.2438
2182_1_det4,number_letter,0.5338
2182_1_det5,number_letter,0.4987
2182_1_det6,number_letter,0.5104
2182_1_det7,number_letter,0.3516
2182_1_det8,number_letter,0.4854
2182_1_det9,arrow,0.1847
2182_1_det10,number_letter,0.5211
2182_2_det0,arrow,0.2189
2209_5_det0,number_letter,0.1435
2209_11_det0,number_letter,0.1448
224_1_det1,arrow,0.1397
224_1_det2,number_letter,0.1606
224_1_det4,number_letter,0.1411
224_1_det5,number_letter,0.1540
224_3_det0,number_letter,0.3455
224_3_det1,arrow,0.1798
224_3_det3,arrow,0.2120
224_4_det0,number_letter,0.0972
224_4_det1,arrow,0.1968
224_4_det2,arrow,0.2088
224_4_det4,number_letter,0.1622
2252_0_det0,number_letter,0.1304
2252_0_det1,arrow,0.1589
2252_0_det2,number_letter,0.1390
2252_0_det3,arrow,0.2103
2252_1_det0,number_letter,0.1308
2252_1_det1,arrow,0.1581
2252_1_det2,number_letter,0.1417
2252_1_det3,arrow,0.2092
2252_2_det0,arrow,0.1146
2252_2_det1,number_letter,0.1362
2252_2_det2,arrow,0.1270
2252_2_det3,number_letter,0.1360
2252_2_det4,number_letter,0.1434
2252_3_det0,arrow,0.0928
2252_3_det1,number_letter,0.1339
2252_3_det2,arrow,0.0945
2252_3_det3,number_letter,0.1353
2252_4_det0,arrow,0.1166
2252_4_det1,arrow,0.1361
2252_4_det2,number_letter,0.1345
2252_4_det3,number_letter,0.1342
2258_1_det0,freeform_bbox,0.6313
2258_1_det1,number_letter,0.2231
2258_1_det3,number_letter,0.2341
2258_1_det4,arrow,0.2862
2258_1_det5,number_letter,0.2408
2264_4_det1,arrow,0.2434
228_1_det0,number_letter,0.2273
228_1_det1,number_letter,0.2214
228_1_det2,arrow,0.2085
228_1_det3,arrow,0.2519
228_2_det0,arrow,0.2000
2265_1_det0,freeform_bbox,0.4519
2265_1_det1,arrow,0.2651
2265_1_det2,number_letter,0.2429
2265_1_det3,number_letter,0.2560
230_7_det0,arrow,0.2010
230_7_det1,number_letter,0.0910
230_7_det2,number_letter,0.0797
230_7_det4,number_letter,0.0868
230_10_det1,number_letter,0.0938
230_10_det3,number_letter,0.0803
230_10_det4,number_letter,0.0873
2342_2_det0,number_letter,0.3268
2342_2_det1,number_letter,0.1250
2342_2_det2,number_letter,0.3203
2342_2_det3,arrow,0.4534
2342_2_det4,arrow,0.2177
2342_2_det5,number_letter,0.1294
235_0_det0,freeform_bbox,0.4823
235_0_det1,arrow,0.3424
235_0_det2,number_letter,0.2651
235_0_det3,number_letter,0.3096
235_0_det4,number_letter,0.2258
235_0_det5,number_letter,0.3931
235_1_det0,arrow,0.2874
235_1_det1,freeform_bbox,0.3982
235_1_det2,number_letter,0.2503
235_1_det3,number_letter,0.2629
235_1_det4,number_letter,0.3214
235_1_det5,number_letter,0.2277
2375_0_det0,number_letter,0.1780
2375_0_det1,freeform_bbox,0.6499
2375_0_det2,number_letter,0.2887
2375_0_det3,number_letter,0.3232
2375_0_det4,arrow,0.2637
2375_0_det5,number_letter,0.2217
2394_0_det0,freeform_bbox,0.3172
2394_0_det1,arrow,0.0882
2394_0_det2,number_letter,0.0635
2394_0_det3,number_letter,0.3737
2394_0_det4,number_letter,0.0944
2364_4_det1,number_letter,0.1641
2364_4_det3,number_letter,0.1250
2364_12_det0,number_letter,0.1516
2364_12_det2,number_letter,0.1295
2432_0_det0,arrow,0.2083
2432_0_det1,number_letter,0.1812
2432_0_det3,arrow,0.1028
2447_0_det0,freeform_bbox,0.5706
2447_0_det3,arrow,0.3384
2486_2_det0,arrow,0.1586
2486_2_det1,number_letter,0.2160
2486_2_det2,arrow,0.1611
2486_2_det3,number_letter,0.2221
2530_1_det1,arrow,0.2471
2560_0_det0,arrow,0.2071
2560_0_det1,arrow,0.2062
2560_0_det2,number_letter,0.2234
2560_0_det3,number_letter,0.2058
2560_0_det4,number_letter,0.1952
2560_0_det5,arrow,0.2008
2560_1_det0,arrow,0.1932
2560_1_det1,freeform_bbox,0.2925
2560_1_det2,arrow,0.2347
2560_1_det3,number_letter,0.2253
2560_1_det4,number_letter,0.2062
2602_1_det0,arrow,0.1345
2602_1_det1,freeform_bbox,0.4165
2646_0_det0,arrow,0.2269
2646_0_det1,freeform_bbox,0.5110
2646_0_det3,number_letter,0.1439
2615_0_det0,arrow,0.4916
2615_0_det2,number_letter,0.3137
2615_1_det1,freeform_bbox,0.4052
2615_5_det0,freeform_bbox,0.4011
2615_8_det0,arrow,0.2573
2615_8_det1,freeform_bbox,0.4035
2687_1_det1,number_letter,0.1221
2687_1_det2,number_letter,0.1504
2687_1_det3,number_letter,0.1174
2687_1_det4,number_letter,0.1680
2687_1_det6,number_letter,0.1188
2687_1_det7,number_letter,0.1991
2687_1_det8,number_letter,0.1017
2687_1_det9,number_letter,0.1003
2687_1_det10,number_letter,0.1117
2687_1_det11,number_letter,0.1476
2697_0_det0,freeform_bbox,0.2040
2697_0_det1,number_letter,0.4347
2697_0_det2,arrow,0.2604
2697_0_det3,number_letter,0.1273
2697_0_det4,number_letter,0.1226
2697_0_det5,number_letter,0.1907
2697_0_det6,number_letter,0.2056
2697_0_det7,number_letter,0.1507
2697_0_det8,number_letter,0.1068
2697_0_det9,number_letter,0.1333
2697_0_det10,number_letter,0.0984
2697_0_det11,arrow,0.2147
2697_0_det12,arrow,0.2102
2697_2_det0,freeform_bbox,0.1967
2697_2_det1,number_letter,0.4459
2697_2_det2,arrow,0.2469
2697_2_det3,number_letter,0.1111
2697_2_det4,number_letter,0.1881
2697_2_det5,number_letter,0.1088
2697_2_det6,number_letter,0.2189
2697_2_det7,number_letter,0.1818
2697_2_det8,number_letter,0.1350
2697_2_det9,arrow,0.2146
2697_2_det10,number_letter,0.0976
2697_2_det11,arrow,0.2107
2714_0_det0,freeform_bbox,0.7816
2714_0_det1,number_letter,0.0923
2714_0_det2,arrow,0.2646
2714_0_det3,number_letter,0.3015
2714_0_det4,arrow,0.1401
2714_0_det5,number_letter,0.2753
2714_0_det6,number_letter,0.1357
2705_0_det0,number_letter,0.1556
2705_0_det1,freeform_bbox,0.4799
2705_0_det2,number_letter,0.1576
2705_3_det0,arrow,0.1701
2751_0_det0,freeform_bbox,0.5431
2751_0_det2,number_letter,0.4415
2751_0_det3,number_letter,0.3736
2751_0_det4,number_letter,0.3859
2751_0_det5,number_letter,0.3766
2751_0_det6,number_letter,0.4330
2751_0_det7,number_letter,0.3265
2751_0_det8,number_letter,0.3432
2751_0_det9,number_letter,0.3791
2751_1_det2,number_letter,0.4032
2751_1_det3,arrow,0.4407
2751_1_det4,number_letter,0.3015
2751_1_det5,number_letter,0.3907
2751_1_det6,number_letter,0.3394
2691_13_det1,number_letter,0.2094
2691_13_det2,number_letter,0.2349
2691_13_det3,arrow,0.1615
2691_13_det4,number_letter,0.2011
2691_13_det5,number_letter,0.2131
2691_13_det6,number_letter,0.2878
2691_13_det7,number_letter,0.2166
2691_21_det0,arrow,0.1609
2691_21_det1,number_letter,0.2107
2691_21_det2,number_letter,0.2352
2691_21_det3,number_letter,0.1984
2691_21_det4,number_letter,0.2131
2691_21_det5,number_letter,0.2886
2691_21_det6,number_letter,0.2166
2691_22_det0,arrow,0.1614
2691_22_det1,number_letter,0.2079
2691_22_det2,number_letter,0.2349
2691_22_det3,number_letter,0.2017
2691_22_det4,number_letter,0.2138
2691_22_det5,number_letter,0.2889
2691_22_det6,number_letter,0.2176
2691_26_det0,arrow,0.1619
2691_26_det1,number_letter,0.2103
2691_26_det2,number_letter,0.2352
2691_26_det3,number_letter,0.1986
2691_26_det4,number_letter,0.2128
2691_26_det5,number_letter,0.2884
2691_26_det6,number_letter,0.2170
2773_3_det0,arrow,0.2149
2773_3_det1,number_letter,0.1958
2773_3_det2,freeform_bbox,0.1678
2773_3_det3,number_letter,0.1822
2773_3_det4,number_letter,0.1884
279_2_det0,number_letter,0.1696
279_2_det1,number_letter,0.2298
279_2_det2,number_letter,0.2355
279_2_det3,number_letter,0.2021
279_2_det4,number_letter,0.2005
279_2_det5,number_letter,0.2166
2795_2_det0,freeform_bbox,0.1415
2795_2_det1,number_letter,0.1550
2795_2_det2,number_letter,0.1748
2795_2_det3,number_letter,0.1516
2795_2_det4,number_letter,0.1881
2795_2_det5,number_letter,0.1554
2795_2_det6,arrow,0.2888
2796_2_det0,arrow,0.1679
2796_2_det1,arrow,0.1712
2796_2_det2,number_letter,0.1648
2846_0_det1,number_letter,0.2642
2846_0_det2,number_letter,0.2165
2846_0_det3,arrow,0.3425
2846_0_det4,number_letter,0.2275
2846_0_det5,number_letter,0.2594
2846_0_det6,number_letter,0.2901
2846_0_det7,number_letter,0.2734
2846_0_det8,number_letter,0.2243
2846_0_det9,number_letter,0.2736
2839_0_det0,number_letter,0.2803
2839_0_det1,number_letter,0.2333
2839_0_det3,number_letter,0.2352
2839_0_det4,number_letter,0.1988
2839_0_det5,arrow,0.1098
2839_0_det6,arrow,0.1226
2839_0_det8,number_letter,0.2034
2839_0_det9,number_letter,0.2170
2839_0_det10,number_letter,0.2734
2839_2_det0,number_letter,0.2859
2839_2_det1,number_letter,0.1656
2839_2_det2,number_letter,0.2323
2839_2_det3,number_letter,0.1968
2839_2_det4,number_letter,0.2069
2839_2_det5,number_letter,0.2697
2867_1_det0,number_letter,0.1829
2867_1_det2,arrow,0.2245
2867_1_det3,arrow,0.2118
2867_1_det4,number_letter,0.2440
2867_1_det5,freeform_bbox,0.1845
2867_1_det6,number_letter,0.1517
2867_1_det7,number_letter,0.2088
2882_0_det0,freeform_bbox,0.3775
2882_0_det1,number_letter,0.1362
2882_0_det2,number_letter,0.0764
2882_0_det3,number_letter,0.1021
2882_0_det4,number_letter,0.1575
2882_0_det5,number_letter,0.1382
2882_0_det6,number_letter,0.0908
2882_0_det7,number_letter,0.1098
2882_0_det8,number_letter,0.0982
2882_0_det9,arrow,0.1700
2899_0_det1,number_letter,0.1578
2899_0_det2,number_letter,0.1443
2899_0_det3,number_letter,0.1419
2899_0_det4,number_letter,0.2024
2899_0_det5,number_letter,0.1380
2899_0_det7,number_letter,0.2432
2899_0_det9,number_letter,0.1544
2885_3_det1,number_letter,0.1629
2885_3_det2,number_letter,0.1510
2885_3_det3,freeform_bbox,0.1296
2885_3_det4,number_letter,0.1259
2885_3_det5,number_letter,0.1449
2885_3_det6,number_letter,0.1527
2885_3_det7,number_letter,0.1868
2885_5_det0,number_letter,0.1562
2885_5_det1,number_letter,0.1515
2885_5_det2,freeform_bbox,0.1306
2885_5_det3,number_letter,0.1254
2885_5_det4,number_letter,0.1548
2885_5_det5,number_letter,0.1419
2885_5_det6,number_letter,0.1311
2934_0_det1,arrow,0.1696
2934_0_det2,arrow,0.2634
2934_0_det3,arrow,0.1814
296_5_det0,number_letter,0.2513
296_5_det1,number_letter,0.2229
296_5_det2,number_letter,0.2143
296_5_det3,arrow,0.1331
296_5_det4,number_letter,0.2159
296_5_det6,arrow,0.1499
296_5_det7,number_letter,0.1730
296_13_det0,number_letter,0.2402
296_13_det1,number_letter,0.2097
296_13_det2,number_letter,0.2030
296_13_det3,arrow,0.1360
296_13_det4,number_letter,0.2124
296_13_det6,arrow,0.1410
296_13_det7,number_letter,0.1695
296_15_det0,number_letter,0.2404
296_15_det1,number_letter,0.2109
296_15_det2,number_letter,0.2030
296_15_det3,arrow,0.1331
296_15_det4,number_letter,0.2140
296_15_det6,arrow,0.1411
296_15_det7,number_letter,0.1661
2987_0_det0,arrow,0.2760
2987_0_det1,freeform_bbox,0.3588
2987_0_det2,number_letter,0.1323
2987_0_det3,number_letter,0.1847
2987_0_det4,number_letter,0.1788
2987_0_det5,number_letter,0.1665
2987_0_det6,number_letter,0.1658
2987_1_det0,freeform_bbox,0.2035
2987_1_det1,arrow,0.2571
2987_1_det2,number_letter,0.1354
2987_1_det3,number_letter,0.1901
2987_1_det4,number_letter,0.1853
2987_1_det5,number_letter,0.1843
2987_6_det0,freeform_bbox,0.5339
2987_6_det1,arrow,0.2974
2987_6_det2,number_letter,0.4319
2987_8_det0,freeform_bbox,0.3643
2987_8_det1,number_letter,0.2314
2987_8_det2,number_letter,0.3253
3006_0_det0,arrow,0.2302
3006_0_det1,number_letter,0.2193
3006_0_det2,number_letter,0.1666
3006_0_det3,number_letter,0.2406
3006_0_det5,number_letter,0.1589
3006_0_det6,arrow,0.2283
3006_1_det0,arrow,0.2295
3006_1_det1,number_letter,0.2241
3006_1_det2,number_letter,0.1643
3006_1_det4,number_letter,0.2417
3006_1_det5,number_letter,0.1650
3006_1_det6,arrow,0.2151
3046_0_det0,number_letter,0.1890
3046_0_det1,number_letter,0.2324
3046_0_det2,number_letter,0.2622
3046_0_det4,arrow,0.2551
3072_6_det0,number_letter,0.1738
3072_6_det1,number_letter,0.1816
3072_6_det2,arrow,0.2937
3072_6_det3,number_letter,0.1836
3072_6_det4,number_letter,0.1765
3111_0_det0,number_letter,0.0870
3111_0_det1,arrow,0.1687
3102_5_det0,arrow,0.3470
3102_5_det1,number_letter,0.1536
3102_5_det2,number_letter,0.1488
3102_5_det3,number_letter,0.1186
3102_5_det4,number_letter,0.1458
3102_5_det5,arrow,0.2898
3102_5_det6,number_letter,0.1226
3102_5_det7,number_letter,0.1465
3102_10_det1,arrow,0.3481
3102_10_det2,arrow,0.2899
3102_10_det3,number_letter,0.1298
3102_10_det4,number_letter,0.1529
3102_10_det5,number_letter,0.2096
3102_15_det0,arrow,0.3479
3102_15_det1,number_letter,0.1512
3102_15_det2,number_letter,0.1482
3102_15_det3,number_letter,0.1218
3102_15_det4,number_letter,0.1445
3102_15_det5,arrow,0.2898
3102_15_det6,number_letter,0.1224
3102_15_det7,number_letter,0.1477
3179_1_det0,number_letter,0.2652
3179_1_det1,number_letter,0.2339
3179_1_det2,number_letter,0.2195
3179_1_det3,number_letter,0.1499
3179_1_det4,number_letter,0.2190
3179_1_det5,arrow,0.1814
3179_1_det6,arrow,0.2446
3181_0_det0,arrow,0.1372
3181_0_det1,number_letter,0.2505
3181_0_det2,number_letter,0.2227
3181_0_det3,number_letter,0.2403
3181_0_det4,number_letter,0.2643
3181_0_det5,number_letter,0.2202
3181_0_det6,arrow,0.1841
3181_2_det0,number_letter,0.2242
3181_2_det1,number_letter,0.2483
3181_2_det2,number_letter,0.2495
3181_2_det3,number_letter,0.2547
3181_2_det4,number_letter,0.2105
3181_2_det5,number_letter,0.2274
3181_2_det6,number_letter,0.2290
319_1_det0,number_letter,0.1304
319_1_det1,arrow,0.1557
319_1_det2,number_letter,0.1328
319_1_det3,arrow,0.2162
3205_0_det0,arrow,0.0903
3205_0_det2,arrow,0.0976
3205_0_det3,number_letter,0.2205
3205_0_det4,number_letter,0.1822
3205_2_det1,arrow,0.1091
3205_2_det2,number_letter,0.1100
3205_2_det3,number_letter,0.0968
323_0_det0,arrow,0.1108
323_0_det1,number_letter,0.3555
323_0_det2,number_letter,0.3291
323_0_det3,arrow,0.3968
323_0_det4,number_letter,0.3534
323_0_det5,arrow,0.3373
323_1_det0,arrow,0.3962
323_1_det1,freeform_bbox,0.3802
323_1_det2,freeform_bbox,0.3996
323_1_det3,number_letter,0.3396
323_1_det4,number_letter,0.3550
323_1_det5,arrow,0.3424
323_1_det6,number_letter,0.3542
3249_0_det0,number_letter,0.2380
3249_0_det1,number_letter,0.0813
3249_0_det2,number_letter,0.1437
3249_0_det4,number_letter,0.0277
3249_0_det5,number_letter,0.1514
3249_0_det6,number_letter,0.1624
3249_0_det7,number_letter,0.1296
3249_0_det9,number_letter,0.1829
3249_0_det10,number_letter,0.1790
3249_0_det11,arrow,0.1671
3249_0_det12,number_letter,0.0472
3249_0_det13,number_letter,0.1531
3249_0_det14,number_letter,0.1410
3249_1_det0,number_letter,0.2355
3249_1_det1,number_letter,0.0750
3249_1_det2,number_letter,0.1411
3249_1_det3,number_letter,0.0304
3249_1_det4,number_letter,0.0753
3249_1_det5,number_letter,0.1292
3249_1_det6,number_letter,0.1399
3249_1_det7,freeform_bbox,0.4833
3249_1_det8,number_letter,0.1822
3249_1_det9,number_letter,0.1814
3249_1_det10,number_letter,0.1540
3249_1_det11,number_letter,0.2679
3249_1_det12,number_letter,0.1460
3249_1_det13,arrow,0.1702
3249_1_det14,arrow,0.1521
3242_3_det0,freeform_bbox,0.5242
3242_3_det1,arrow,0.2811
3242_3_det2,arrow,0.2146
3242_4_det1,freeform_bbox,0.5047
3242_4_det3,arrow,0.2724
3242_7_det1,freeform_bbox,0.5154
3285_0_det0,number_letter,0.0749
3285_0_det1,number_letter,0.0712
3285_0_det2,number_letter,0.1484
3285_0_det3,number_letter,0.0760
3285_0_det4,number_letter,0.0830
3285_0_det5,number_letter,0.0855
3285_0_det6,number_letter,0.0719
3285_0_det7,number_letter,0.0827
3285_0_det8,number_letter,0.0708
3285_0_det10,number_letter,0.1099
3285_0_det11,number_letter,0.0926
3285_0_det12,number_letter,0.1030
3285_0_det13,number_letter,0.0901
3282_0_det0,freeform_bbox,0.5310
3282_0_det1,arrow,0.0968
3282_0_det2,number_letter,0.1618
3282_0_det3,number_letter,0.1240
3282_0_det4,number_letter,0.2072
3282_0_det5,number_letter,0.1613
3282_0_det6,number_letter,0.1341
